rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Heavy third-party script load,HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,"The homepage loads 56 scripts, which is the usual root cause of slow interaction readiness on mobile.","The homepage loads 56 scripts, which is the usual root cause of slow interaction readiness on mobile.","notes: Audit third-party tags, defer non-critical scripts, and remove duplicated analytics or marketing pixels.","Measured on the live homepage: 41 inline and 15 external <script> tags, 300 KB of HTML.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_1_heavy_third_party_script_load.html
2,Homepage next step is ambiguous,MEDIUM,Homepage,Low,0.5-2 days,5,10,no,conversion,"The homepage presents multiple unrelated CTAs and social follow headings, leaving no clear primary direction into the purchase path.","The homepage presents multiple unrelated CTAs and social follow headings, leaving no clear primary direction into the purchase path.",h1: Shop new arrivals; cta: Shop now; notes: Single dominant browse CTA,"5 distinct calls to action compete on the same page: “Create account”, “Check out”, “Shop now”, “See More”, “shop@domesticdomestic.com”. | The page's main headline reads “Follow us on Instagram”. | The page's main headline reads “Follow us on Facebook”.",Funnel Path,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_2_homepage_next_step_is_ambiguous.html
3,Clarify culturally charged tagline,MEDIUM,Navigation,Medium,2-5 days,5,10,no,trust,"The tagline is followed by a sale banner and category list, but lacks plain-language explanation of the brand's point of difference.","The tagline is followed by a sale banner and category list, but lacks plain-language explanation of the brand's point of difference.",notes: Add plain-language descriptor,Culturally Charged Accoutrement Bags Travel Kits Key Chains Wallets Sunglasses Watches | ADDITIONAL 20% OFF ON SALE ITEMS | SHOP SALE!,Message Clarity,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_3_clarify_culturally_charged_tagline.html
4,Ambiguous Accoutrement nav label,MEDIUM,Navigation,Low,0.5-2 days,5,10,no,traffic,"The brand tagline 'Culturally Charged Accoutrement' runs into the category list, and a separate 'Accoutrement' category appears, confusing shoppers.","The brand tagline 'Culturally Charged Accoutrement' runs into the category list, and a separate 'Accoutrement' category appears, confusing shoppers.",notes: Rename category to 'Accessories',Culturally Charged Accoutrement Bags Travel Kits Key Chains Wallets Sunglasses Watches | Jewelry Accoutrement Office Books,Navigation & Information Scent,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_4_ambiguous_accoutrement_nav_label.html
5,Weak page metadata,MEDIUM,Site-Wide Seo,Medium,2-5 days,5,10,yes,traffic,"Search and social previews are degraded: page title (absent), meta description are missing or outside recommended lengths.","Search and social previews are degraded: page title (absent), meta description are missing or outside recommended lengths.",notes: Write a 15-60 char title and 70-160 char description per page; add og:title and og:image for link previews.,"Measured on the homepage: title 0 chars (15-60 recommended); description 0 chars (70-160 recommended); og:title present, og:image present.",Technical & Accessibility,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_5_weak_page_metadata.html
6,Conflicting cart feedback after add,URGENT,Checkout & Cart,Medium,2-5 days,4,10,no,conversion,"The cart drawer simultaneously shows 'Item added' and 'View my cart (0)', confusing shoppers about whether their item was added.","The cart drawer simultaneously shows 'Item added' and 'View my cart (0)', confusing shoppers about whether their item was added.",cta: Check out; notes: Update cart count in success message,Item added to your cart View my cart (0) Check out Continue shopping,Form & Interaction Friction,0.4,1.6,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 2.0-8.0% relative lift",124891,,finding_6_conflicting_cart_feedback_after_add.html
7,Sale promo competes with checkout,URGENT,Checkout & Cart,Medium,2-5 days,4,10,no,conversion,The sitewide sale banner on the cart page offers an exit from the purchase path at the final step before conversion.,The sitewide sale banner on the cart page offers an exit from the purchase path at the final step before conversion.,h1: Your cart; cta: Check out; notes: Remove or de-emphasize sale banner,"ADDITIONAL 20% OFF ON SALE ITEMS | SHOP SALE! | 4 distinct calls to action compete on the same page: “Create account”, “Check out”, “See More”, “shop@domesticdomestic.com”. | The page's main headline reads “Your cart”.",Funnel Path,0.4,1.6,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 2.0-8.0% relative lift",124891,,finding_7_sale_promo_competes_with_checkout.html
8,Gift card prices ambiguous,HIGH,Product Page,Medium,2-5 days,4,10,no,trust,"Gift card amounts render without decimal separators, leaving the actual price unclear and potentially misleading.","Gift card amounts render without decimal separators, leaving the actual price unclear and potentially misleading.","notes: Format as $8.81, $17.62, etc.",Prices shown on the page: $881 $1762 $2202 $6607 $4405 $8809,Pricing & Cost Transparency,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_8_gift_card_prices_ambiguous.html
9,Account creation precedes checkout,MEDIUM,Checkout & Cart,Medium,2-5 days,4,10,no,conversion,"Create account is promoted ahead of Check out in the cart area, adding a non-purchase step to the primary conversion path.","Create account is promoted ahead of Check out in the cart area, adding a non-purchase step to the primary conversion path.","cta: Check out; notes: Check out first, guest checkout available","4 distinct calls to action compete on the same page: “Create account”, “Check out”, “See More”, “shop@domesticdomestic.com”. | Menu Search Log in Create account 0 Cart Item added to your cart View my cart (0) Check out Continue shopping",Funnel Path,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_9_account_creation_precedes_checkout.html
10,Order change page pushes checkout,MEDIUM,/Pages/Making-Changes-To-Your-Orde,Medium,2-5 days,4,10,no,conversion,"The page meant for changing an order offers checkout as the visible action, forcing users to find another route for their actual task.","The page meant for changing an order offers checkout as the visible action, forcing users to find another route for their actual task.",h1: Making Changes to Your Order; cta: Manage my order; notes: Add explicit manage action,"The page's main headline reads “Making Changes to Your Order”. | 3 distinct calls to action compete on the same page: “Create account”, “Check out”, “shop@domesticdomestic.com”.",Form & Interaction Friction,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_10_order_change_page_pushes_checkout.html
